ID,Country,First Name,Middle Name,Last Name,Second Last Name,Nickname,Name Order,DOB,Position
14469,Spain,Albert,,Crusat,Domènech,,,1982-05-13,Midfielder
17468,Spain,Carlos,Javier,Cuéllar,Jiménez,,,1981-08-23,Defender
19188,England,Scott,,Dann,,,,1987-02-14,Central Defender
3630,England,Kevin,,Davies,,,,1977-03-26,Striker
19930,England,Mark,,Davies,,,,1988-02-18,Midfielder
2559,Wales,Simon,,Davies,,,,1979-10-23,Right Winger
78774,England,David,,Davis,,,,1991-02-20,Central Midfielder
60232,England,Craig,,Dawson,,,,1990-05-06,Defender
12679,England,Michael,,Dawson,,,,1983-11-18,Defender
27258,Brazil,Anderson ,Luís,de Abreu,Oliveira,Anderson,,1988-04-13,Midfielder
51940,Spain,David,,de Gea,Quintana,,,1990-11-07,Goalkeeper
15076,Netherlands,Nigel,,de Jong,,,,1984-11-30,Midfielder
46695,Belgium,Ritchie,,de Laet,,,,1988-11-28,Defender
38251,Netherlands,Dorus,,de Vries,,,,1980-12-29,Goalkeeper
7958,England,Jermain,,Defoe,,,,1982-10-07,Striker
1679,Republic of Ireland,Rory,,Delap,,,,1976-07-06,Midfielder
51484,England,Nathan,,Delfouneso,,,,1991-02-02,Striker
41823,England,Fabian,,Delph,,,,1989-11-21,Central Midfielder
39104,Belgium,Moussa,,Dembélé,,,,1987-07-16,Central Midfielder
20226,USA,Clint,Drew,Dempsey,,,,1983-03-09,Striker
1420,England,Shaun,,Derry,,,,1977-12-06,Midfielder
49724,Argentina,Franco,Matías,Di Santo,,,,1989-04-07,Striker
80442,Mali,Samba,,Diakité,,,,1989-01-24,Midfielder
28147,Senegal,Mohamed,,Diamé,,,,1987-06-14,Central Midfielder
6769,Senegal,Salif,,Diao,,,,1977-02-10,Central Midfielder
4990,Mali,Mahamadou,,Diarra,,,,1981-05-18,Central Midfielder
18658,Brazil,Alex,Rodrigo,Dias,de Costa,Alex,,1982-06-17,Central Defender
6219,France,Sylvain,,Distin,,,,1977-12-16,Defender
19160,Switzerland,Johan Danon,,Djourou-Gbadjere,,Johan Djourou,,1987-01-18,Defender
17955,Scotland,Stephen,,Dobbie,,,,1982-12-05,Striker
87835,Republic of Ireland,Matt,,Doherty,,,,1992-01-16,Right Full-back
5075,USA,Landon,Timothy,Donovan,,,,1982-03-04,Right Forward
20141,Scotland,Graham,,Dorrans,,,,1987-05-05,Central Midfielder
40275,Mexico,Giovani,,dos Santos,Ramírez,,,1989-05-11,Midfielder
12002,England,Stewart,,Downing,,,,1984-07-22,Left Winger
20450,Republic of Ireland,Kevin,,Doyle,,,,1983-09-18,Striker
39202,Netherlands,Royston,,Drenthe,,,,1987-04-08,Midfielder
12303,Côte d'Ivoire,Didier,Yves,Drogba,Tébily,,,1978-03-11,Striker
2562,England,Adam,,Drury,,,,1978-08-29,Defender
1256,Republic of Ireland,Damien,,Duff,,,,1979-03-02,Right Winger
61933,Republic of Ireland,Shane,,Duffy,,,,1992-01-01,Central Defender
1274,England,David,,Dunn,,,,1979-12-27,Midfielder
1764,Republic of Ireland,Richard,,Dunne,,,,1979-09-21,Central Defender
1840,England,Kieron,,Dyer,,,,1978-12-29,Midfielder
21083,England,Nathan,,Dyer,,,,1987-11-29,Right Forward
42544,Bosnia and Herzegovina,Edin,,Džeko,,,,1986-03-17,Striker
18428,England,Chris,,Eagles,,,,1985-11-19,Midfielder
19557,England,Sylvain,,Ebanks-Blake,,,,1986-03-29,Striker
16236,Wales,David,Alexander,Edwards,,,,1986-02-03,Midfielder
37339,Egypt,Ahmed,,Elmohamady,,,,1987-09-09,Midfielder
19084,Cameroon,George,,Elokobi,,,,1986-01-31,Defender
4740,Australia,Brett,Michael,Emerton,,,,1979-02-22,Midfielder
19946,England,Hogan,,Ephraim,,,,1988-03-31,Midfielder
8442,Ghana,Michael,,Essien,,,,1982-12-03,Midfielder
2570,England,Matthew,,Etherington,,,,1981-08-14,Midfielder
10454,Nigeria,Dickson,,Etuhu,,,,1982-06-08,Central Midfielder
37642,Northern Ireland,Jonny,,Evans,,,,1988-01-03,Defender
14075,France,Patrice,,Evra,,,,1981-05-15,Left Full-back
67731,Argentina,Alejandro,Damián,Faurlín,,,,1986-08-09,Midfielder
41184,Belgium,Marouane,,Fellaini,,,,1987-11-22,Midfielder
13898,England,Anton,,Ferdinand,,,,1985-02-18,Defender
2034,England,Rio,,Ferdinand,,,,1978-11-07,Central Defender
61944,Northern Ireland,Shane,,Ferguson,,,,1991-07-12,Midfielder
34285,Honduras,Maynor,Alexis,Figueroa,Róchez,,,1983-05-02,Defender
91979,England,Jon,,Flanagan,,,,1993-01-01,Right Full-back
14295,Scotland,Darren,,Fletcher,,,,1984-02-01,Central Midfielder
18953,Scotland,Steven,,Fletcher,,,,1987-03-26,Striker
14947,Republic of Ireland,Kevin,,Foley,,,,1984-11-01,Right Full-back
105190,Republic of Ireland,Anthony,,Forde,,,,1993-11-16,Midfielder
58900,Argentina,Mauro,Abel,Formica,,,,1988-04-04,Central Midfielder
14279,France,Marc-Antoine,,Fortuné,,,,1981-07-02,Striker
9089,England,Ben,,Foster,,,,1983-04-03,Goalkeeper
17812,England,David,,Fox,,,,1983-12-13,Midfielder
105086,Turkey,Kerim,,Frei,,,,1993-11-19,Midfielder
1803,USA,Bradley,Howard,Friedel,,,,1971-05-18,Goalkeeper
56861,England,Emmanuel,,Frimpong,,,,1992-01-10,Midfielder
106603,England,Ezekiel,,Fryers,,,,1992-09-09,Defender
11721,Jamaica,Ricardo,,Fuller,,,,1979-10-31,Striker
18151,Hungary,Márton,,Fülöp,,,,1983-05-03,Goalkeeper
1059,Wales,Daniel,Leon,Gabbidon,,,,1979-08-08,Defender
6254,France,William,,Gallas,,,,1977-08-17,Central Defender
28468,England,Craig,,Gardner,,,,1986-11-25,Midfielder
77800,England,Gary,,Gardner,,,,1992-06-29,Central Midfielder
1307,Jamaica,Ricardo,,Gardner,,,,1978-09-25,Left Winger
28342,Czech Republic,Marcel,,Gecov,,,,1988-01-01,Midfielder
18430,Hungary,Zoltán,,Gera,,,,1979-04-22,Midfielder
1814,England,Steven,,Gerrard,,,,1980-05-30,Midfielder
42427,England,Kieran,,Gibbs,,,,1989-09-26,Left Full-back
27707,England,Darron,,Gibson,,,,1987-10-25,Central Midfielder
3,Wales,Ryan,Joseph,Giggs,,,,1973-11-29,Midfielder
1822,Republic of Ireland,Shay,,Given,,,,1976-04-20,Goalkeeper
8371,France,Gaël,,Givet,,,,1981-10-09,Defender
50023,Spain,Jordi,,Gómez,García-Penche,,,1985-05-24,Central Midfielder
28157,Scotland,David,,Goodwillie,,,,1989-03-28,Striker
5207,Scotland,Craig,,Gordon,,,,1982-12-31,Goalkeeper
83701,Northern Ireland,John,,Gorman,,,,1992-10-26,Midfielder
40387,England,Dan,,Gosling,,,,1990-02-01,Midfielder
1936,England,Mark,,Gower,,,,1978-10-05,Midfielder
15398,England,Danny,,Graham,,,,1985-08-12,Striker
13524,Australia,Vincenzo,,Grella,,,,1979-10-05,Midfielder
6298,Czech Republic,Zdeněk,,Grygera,,,,1980-05-14,Right Full-back
44302,Algeria,Adlène,,Guedioura,,,,1985-11-12,Midfielder
57835,Senegal,Magaye,,Gueye,,,,1990-07-06,Midfielder
52876,Brazil,Sandro,Raniere,Guimarães,Cordeiro,Sandro,,1989-03-15,Midfielder
37639,England,Danny,,Guthrie,,,,1987-04-18,Midfielder
21060,Argentina,Jonás,Manuel,Gutiérrez,,,,1983-07-05,Midfielder
41705,USA,Bradley,Edwin,Guzan,,,,1984-09-09,Goalkeeper
33223,Ghana,Asamoah,,Gyan,,,,1985-11-22,Striker
12674,England,Fitz,,Hall,,,,1980-12-20,Central Defender
40660,England,Adam,,Hammill,,,,1988-01-25,Midfielder
15284,Norway,Brede,,Hangeland,,,,1981-06-20,Central Defender
83428,Scotland,Grant,,Hanley,,,,1991-11-20,Central Defender
5043,England,Owen,,Hargreaves,,,,1981-01-20,Midfielder
92790,Republic of Ireland,Michael,,Harriman,,,,1992-10-23,Right Full-back
15749,England,Joe,,Hart,,,,1987-04-19,Goalkeeper
10466,Netherlands,Johnny,,Heitinga,,,,1983-11-15,Defender
3731,Iceland,Heiðar,,Helguson,,,,1977-08-22,Striker
56979,England,Jordan,,Henderson,,,,1990-06-17,Midfielder
103903,Wales,Adam,David,Henley,,,,1994-06-14,Defender
20066,Wales,Wayne,Robert,Hennessey,,,,1987-01-24,Goalkeeper
10561,England,Karl,,Henry,,,,1982-11-26,Midfielder
1619,France,Thierry,,Henry,,,,1977-08-17,Striker
49493,Australia,Christopher,,Herd,,,,1989-04-04,Central Midfielder
43020,Mexico,Javier,,Hernández,Balcázar,,,1988-06-01,Striker
1765,England,Emile,,Heskey,,,,1978-01-11,Striker
9007,England,Tony,,Hibbert,,,,1981-02-20,Right Full-back
2399,England,Danny,,Higginbotham,,,,1978-12-29,Defender
1216,England,Clint,,Hill,,,,1978-10-19,Central Defender
49806,Canada,David,Wayne,Hoilett,,Junior Hoilett,,1990-06-05,Striker
5741,England,Grant,,Holt,,,,1981-04-12,Striker
28499,Republic of Ireland,Wes,,Hoolahan,,,,1982-05-20,Midfielder
15337,USA,Timothy,Matthew,Howard,,,,1979-03-06,Goalkeeper
38297,England,Jonathan,,Howson,,,,1988-05-21,Central Midfielder
15109,England,Tom,,Huddlestone,,,,1986-12-28,Central Midfielder
1869,Northern Ireland,Aaron,,Hughes,,,,1979-11-08,Central Defender
5692,England,Robert,,Hulse,,,,1979-10-25,Striker
7635,Republic of Ireland,Stephen,,Hunt,,,,1981-08-01,Left Winger
42428,England,Sam,,Hutchinson,,,,1989-08-03,Defender
12413,Germany,Robert,,Huth,,,,1984-08-18,Central Defender
15405,Scotland,Alan,,Hutton,,,,1984-11-30,Right Full-back
17687,Nigeria,Carl,,Ikeme,,,,1986-06-08,Goalkeeper
20481,Republic of Ireland,Stephen,,Ireland,,,,1986-08-22,Midfielder
41135,Serbia,Branislav,,Ivanović,,,,1984-02-22,Defender
1344,Finland,Jussi,,Jääskeläinen,,,,1975-04-19,Goalkeeper
19321,Canada,Simeon,Alexander,Jackson,,,,1987-03-28,Striker
7645,England,Phil,,Jagielka,,,,1982-08-17,Defender
37269,Chile,Gonzalo,Alejandro,Jara,Reyes,,,1985-08-29,Defender
18818,England,Matthew,,Jarvis,,,,1986-05-22,Midfielder
62419,Croatia,Nikica,,Jelavić,,,,1985-08-27,Striker
10451,England,Jermaine,,Jenas,,,,1983-02-18,Midfielder
80254,England,Carl,,Jenkinson,,,,1992-02-08,Right Full-back
18804,England,Cameron,,Jerome,,,,1986-08-14,Striker
98769,Korea Republic,Dong-Won,,Ji,,,Eastern,1991-05-28,Striker
20664,Spain,David,Josué,Jiménez,Silva,David Silva,,1986-01-08,Midfielder
19959,England,Adam,,Johnson,,,,1987-07-14,Right Winger
1195,England,Andrew,,Johnson,,,,1981-02-10,Striker
19569,England,Bradley,,Johnson,,,,1987-04-28,Central Midfielder
9047,England,Glen,,Johnson,,,,1984-08-23,Right Full-back
8358,England,Roger,,Johnson,,,,1983-04-28,Defender
11467,England,Billy,,Jones,,,,1987-03-24,Left Wing-back
9631,Australia,Bradley,,Jones,,,,1982-03-19,Goalkeeper
19556,England,David,,Jones,,,,1984-11-04,Midfielder
18215,Trinidad and Tobago,Kenwyne,Joel,Jones,,,,1984-10-05,Striker
76359,England,Phil,,Jones,,,,1992-02-21,Defender
40231,Iceland,Eggert Gunnþór,,Jónsson,,,,1988-08-18,Midfielder
37742,France,Younes,,Kaboul,,,,1986-01-04,Central Defender
42518,Sweden,Alexander,,Kačaniklić,,,,1991-08-13,Left Winger
59325,France,Gaël,,Kakuta,,,,1991-06-21,Midfielder
37352,Côte d'Ivoire,Salomon,Armand Magloire,Kalou,,,,1985-08-05,Midfielder
81025,Switzerland,Pajtim,,Kasami,,,,1992-06-02,Midfielder
88658,England,Jake,,Kean,,,,1991-02-04,Goalkeeper
1710,Republic of Ireland,Robbie,,Keane,,,,1980-07-08,Striker
91126,England,William,,Keane,,,,1993-01-11,Striker
58786,England,Martin,,Kelly,,,,1990-04-27,Defender
9493,Republic of Ireland,Stephen,,Kelly,,,,1983-09-06,Right Full-back
3119,Republic of Ireland,Patrick,,Kenny,,,,1978-05-17,Goalkeeper
15944,England,Michael,,Kightly,,,,1986-01-24,Midfielder
14919,England,Matthew,,Kilgallon,,,,1984-01-08,Central Defender
1934,England,Ledley,,King,,,,1980-12-10,Central Defender
9765,Croatia,Ivan,,Klasnić,,,,1980-01-29,Striker
1587,England,Zat,,Knight,,,,1980-05-02,Central Defender
42593,Serbia,Aleksandar,,Kolarov,,,,1985-11-10,Left Wing-back
17476,Belgium,Vincent,,Kompany,,,,1986-04-10,Central Defender
51507,France,Laurent,,Koscielny,,,,1985-09-10,Central Defender
28097,Croatia,Niko,,Kranjčar,,,,1984-08-13,Midfielder
20480,Netherlands,Tim,,Krul,,,,1988-04-03,Goalkeeper
4719,Netherlands,Dirk,,Kuyt,,,,1980-07-22,Right Forward
11248,Greece,Sotirios,,Kyrgiakos,,,,1979-07-23,Central Defender
2051,England,Frank,,Lampard,,,,1978-06-20,Midfielder
95703,England,Cameron,,Lancaster,,,,1992-11-05,Striker
40564,England,Henri,,Lansbury,,,,1990-10-12,Midfielder
4374,Scotland,Simon,,Lappin,,,,1983-01-25,Left Wing-back
19057,Sweden,Sebastian,,Larsson,,,,1985-06-06,Midfielder
75773,Korea Republic,Chung-Yong,,Lee,,,Eastern,1988-07-02,Right Winger
17349,England,Aaron,,Lennon,,,,1987-04-16,Right Winger
7551,England,Joleon,,Lescott,,,,1982-08-16,Central Defender
45139,USA,Eric,Joseph,Lichaj,,,,1988-11-17,Defender
39725,Denmark,Anders,Rozenkrantz,Lindegaard,,,,1984-04-13,Goalkeeper
14166,England,Leroy,,Lita,,,,1984-12-28,Striker
49944,England,Jake,,Livermore,,,,1989-11-14,Central Midfielder
20452,Republic of Ireland,Shane,,Long,,,,1987-01-22,Striker
48730,Spain,Adrián,,López,Rodríguez,Piscu,,1987-02-25,Central Defender
4454,Denmark,Peter,Rosenkrands,Løvenkrands,,,,1980-01-29,Striker
92488,England,Jason,,Lowe,,,,1991-09-02,Midfielder
66749,Belgium,Romelu,,Lukaku,,,,1993-05-13,Striker
59970,Italy,Federico,,Macheda,,,,1991-08-22,Striker
19196,Scotland,Jamie,,Mackie,,,,1985-09-22,Striker
39982,Austria,Stefan,,Maierhofer,,,,1982-08-16,Striker
9110,Scotland,Shaun,,Maloney,,,,1983-01-24,Central Forward
10425,France,Florent,,Malouda,,,,1980-06-13,Left Winger
26756,Brazil,Doniéber,Alexander,Marangon,,Doni,,1979-10-22,Goalkeeper
39776,England,Chris,,Martin,,,,1988-11-04,Striker
19341,Scotland,Russell,,Martin,,,,1986-01-04,Central Defender
20312,Argentina,Carlos,Alberto,Martínez,Tevez,Carlos Tevez,,1984-02-05,Striker
37939,France,Sylvain,,Marveaux,,,,1986-04-15,Midfielder
43670,Spain,Juan,Manuel,Mata,García,,,1988-04-28,Midfielder
80181,England,Conor,,McAleny,,,,1992-08-12,Striker
50471,Scotland,James,,McArthur,,,,1987-10-07,Central Midfielder
19272,Northern Ireland,Gareth,,McAuley,,,,1979-12-05,Defender
50472,Republic of Ireland,James,,McCarthy,,,,1990-11-12,Central Midfielder
63370,Republic of Ireland,James,,McClean,,,,1989-04-22,Midfielder
88821,England,Joshua,,McEachran,,,,1993-03-01,Central Midfielder
4445,Scotland,James,,McFadden,,,,1983-04-14,Striker
61538,England,Callum,,McManaman,,,,1991-04-25,Striker
12780,England,Tyrone,,Mears,,,,1983-02-18,Right Full-back
37634,Portugal,Henrique,Hilário,Meireles,Sampaio,Hilário,,1975-10-21,Goalkeeper
17127,Germany,Per,,Mertesacker,,,,1984-09-29,Central Defender
53371,Republic of Ireland,David,,Meyler,,,,1989-05-29,Midfielder
66797,Belgium,Simon,,Mignolet,,,,1988-03-06,Goalkeeper
41208,Serbia,Nenad,,Milijaš,,,,1983-04-30,Midfielder
15157,England,James,,Milner,,,,1986-01-04,Midfielder
90801,Spain,Ignasi,,Miquel,Pons,,,1992-09-28,Defender
92372,Japan,Ryo,,Miyaichi,,,,1992-12-14,Left Winger
35865,France,Anthony,,Modeste,,,,1988-04-14,Striker
37055,Croatia,Luka,,Modrić,,,,1985-09-09,Central Midfielder
1950,England,Garry,,Monk,,,,1979-03-06,Central Defender
15428,England,Luke,,Moore,,,,1986-02-13,Striker
39464,Greece,Vangelis,,Moras,,,,1981-08-26,Central Defender
41270,Brazil,David,Luiz,Moreira,Marinho,David Luiz,,1987-04-22,Defender
40204,Wales,Steven,William,Morison,,,,1983-08-29,Striker
87860,England,Josh,,Morris,,,,1991-09-30,Midfielder
18008,Scotland,James,,Morrison,,,,1986-05-25,Right Winger
49013,Nigeria,Victor,,Moses,,,,1990-12-12,Midfielder
27696,England,Fabrice,,Muamba,,,,1988-04-06,Central Midfielder
39895,Congo DR,Youssouf,,Mulumbu,,,,1987-01-25,Central Midfielder
1812,England,Danny,,Murphy,,,,1977-03-18,Central Midfielder
18737,France,Charles,,N'Zogbia,,,,1986-05-28,Midfielder
49323,France,Steven,,N'Zonzi,,,,1988-12-15,Midfielder
28554,France,Samir,,Nasri,,,,1987-06-26,Midfielder
49539,England,Kyle,,Naughton,,,,1988-11-11,Right Full-back
19718,New Zealand,Ryan,William,Nelsen,,,,1977-10-18,Central Defender
1821,England,Philip,,Neville,,,,1977-01-21,Full-back
38328,France,David,,Ngog,,,,1989-04-01,Striker
80061,England,Ryan,,Noble,,,,1991-06-11,Striker
28568,England,Jamie,,O'Hara,,,,1986-09-25,Midfielder
3736,Republic of Ireland,John,,O'Shea,,,,1981-04-30,Defender
38429,France,Gabriel,,Obertan,,,,1989-02-26,Midfielder
28495,Nigeria,John Michael,,Obinna,,John Obi Mikel,,1987-04-22,Central Midfielder
26900,Nigeria,Peter,,Odemwingie,,,,1981-07-15,Striker
39253,Sweden,Jonas,,Olsson,,,,1983-03-10,Central Defender
51887,Sweden,Marcus,,Olsson,,,,1988-05-17,Left Winger
28654,Sweden,Martin,,Olsson,,,,1988-05-17,Left Full-back
19053,England,Nedum,,Onuoha,,,,1986-11-12,Defender
20589,Spain,Andrea,,Orlandi,Stabilin,,,1984-08-03,Midfielder
12443,England,Bradley,,Orr,,,,1982-11-01,Right Full-back
8378,England,Leon,,Osman,,,,1981-05-17,Midfielder
1795,England,Michael,,Owen,,,,1979-12-14,Striker
81880,England,Alex,,Oxlade-Chamberlain,,,,1993-08-15,Midfielder
34296,Honduras,Wilson,Roberto,Palacios,Suazo,,,1984-07-29,Midfielder
36968,Korea Republic,Chu-Young,,Park,,,Eastern,1985-07-10,Midfielder
12882,Korea Republic,Ji-Sung,,Park,,,Eastern,1981-02-25,Midfielder
1411,England,Scott,,Parker,,,,1980-10-13,Midfielder
20298,Russia,Roman,Anatolyevich,Pavlyuchenko,,,,1981-12-15,Striker
16058,Norway,Morten Gamst,,Pedersen,,,,1981-09-08,Midfielder
3658,England,Jermaine,,Pennant,,,,1983-01-15,Midfielder
18846,England,James,,Perch,,,,1985-09-28,Defender
54771,Brazil,Fábio,,Pereira,da Silva,Fábio,,1990-07-09,Defender
54772,Brazil,Rafael,,Pereira,da Silva,Rafael,,1990-07-09,Right Full-back
10089,Bulgaria,Martin,,Petrov,,,,1979-01-15,Left Winger
2160,Bulgaria,Stiliyan,,Petrov,,,,1979-07-05,Midfielder
56944,Serbia,Radosav,,Petrović,,,,1989-03-08,Midfielder
43191,Brazil,Lucas,,Pezzini,Leiva,,,1987-01-09,Central Midfielder
7525,South Africa,Steven,Jerome,Pienaar,,,,1982-03-17,Midfielder
40451,Republic of Ireland,Anthony,,Pilkington,,,,1988-06-06,Midfielder
7459,Chile,David,Marcelo,Pizarro,Cortés,,,1979-09-11,Central Midfielder
74208,France,Paul,,Pogba,,,,1993-03-15,Midfielder
39439,Russia,Pavel,Viktorovich,Pogrebnyak,,,,1983-11-08,Striker
15188,England,Darren,,Pratley,,,,1985-04-22,Midfielder
14489,England,Danny,,Pugh,,,,1982-10-19,Midfielder
